Game,Date,Date,Date,Team A,Team A,Team A,Team B,Team B,Team B,
Number,Year,Month,Day,ID,Goals,Win,ID,Goals,Win,Ended In?
352,2015,11,28,19,3,1,26,2,0,0
353,2015,11,28,29,4,1,27,2,0,0
354,2015,11,29,13,2,1,11,1,0,1
355,2015,11,30,28,0,0,1,4,1,0
356,2015,11,30,8,3,0,19,5,1,0
357,2015,11,30,6,3,0,20,4,1,0
358,2015,11,30,12,0,0,27,3,1,0
359,2015,12,1,10,3,0,5,4,1,2
360,2015,12,1,15,2,1,7,1,0,0
361,2015,12,1,4,4,0,11,5,1,2
362,2015,12,1,28,1,0,14,2,1,1
363,2015,12,1,9,1,0,16,2,1,0
364,2015,12,1,8,2,1,18,1,0,0
365,2015,12,1,2,2,0,17,5,1,0
366,2015,12,1,22,4,1,21,2,0,0
367,2015,12,1,23,5,1,24,1,0,0
368,2015,12,1,13,3,1,25,1,0,0
369,2015,12,2,26,2,1,1,1,0,0
370,2015,12,2,3,2,0,12,3,1,2
371,2015,12,2,20,1,0,19,2,1,2
372,2015,12,2,27,1,0,30,6,1,0
373,2015,12,3,18,5,1,6,1,0,0
374,2015,12,3,2,1,0,11,5,1,0
375,2015,12,3,27,0,0,15,1,1,0
376,2015,12,3,29,3,1,16,2,0,0
377,2015,12,3,13,2,1,17,1,0,0
378,2015,12,3,8,2,1,20,1,0,0
379,2015,12,3,7,3,0,21,4,1,1
380,2015,12,3,10,4,1,28,2,0,0
381,2015,12,4,24,0,0,1,1,1,0
382,2015,12,4,2,2,0,4,5,1,0
383,2015,12,4,13,2,1,9,1,0,2
384,2015,12,4,3,4,0,5,5,1,1
385,2015,12,4,10,1,0,12,2,1,1
386,2015,12,4,22,4,1,18,3,0,1
387,2015,12,4,25,1,0,19,2,1,2
388,2015,12,5,16,2,0,6,3,1,0
389,2015,12,5,17,4,0,11,5,1,1
390,2015,12,5,23,3,0,14,5,1,0
391,2015,12,5,8,0,0,15,3,1,0
392,2015,12,5,19,2,0,21,3,1,1
393,2015,12,5,9,4,1,22,1,0,0
394,2015,12,5,26,4,1,24,3,0,0
395,2015,12,5,27,4,1,25,1,0,0
396,2015,12,5,3,4,1,28,0,0,0
397,2015,12,5,29,1,0,30,2,1,1
398,2015,12,6,23,1,0,1,2,1,0
399,2015,12,6,2,4,0,6,5,1,0
400,2015,12,6,30,1,0,7,3,1,0
401,2015,12,6,4,2,0,12,4,1,0
402,2015,12,6,26,1,0,14,3,1,0
403,2015,12,6,13,2,0,18,4,1,0
404,2015,12,6,21,1,0,20,4,1,0
405,2015,12,7,17,3,1,3,2,0,0
406,2015,12,7,15,1,0,8,2,1,1
407,2015,12,7,4,2,0,28,5,1,0
408,2015,12,8,14,3,1,9,2,0,1
409,2015,12,8,24,2,0,5,4,1,0
410,2015,12,8,17,1,0,7,4,1,0
411,2015,12,8,6,5,0,10,6,1,0
412,2015,12,8,21,4,1,13,2,0,0
413,2015,12,8,19,4,1,22,3,0,2
414,2015,12,8,2,1,0,25,4,1,0
415,2015,12,8,18,2,0,27,3,1,2
416,2015,12,8,11,2,0,29,3,1,2
417,2015,12,9,23,4,1,8,2,0,0
418,2015,12,9,24,3,0,12,4,1,1
419,2015,12,9,3,3,1,16,1,0,0
420,2015,12,9,20,1,0,28,2,1,0
421,2015,12,10,4,3,0,5,4,1,0
422,2015,12,10,16,2,0,11,3,1,0
423,2015,12,10,29,1,0,13,4,1,0
424,2015,12,10,7,1,0,17,5,1,0
425,2015,12,10,22,4,1,25,2,0,0
426,2015,12,10,21,1,0,26,4,1,0
427,2015,12,10,9,4,0,30,6,1,0
428,2015,12,11,6,5,1,1,1,0,0
429,2015,12,11,15,1,0,2,2,1,1
430,2015,12,11,30,0,0,7,2,1,0
431,2015,12,11,22,1,0,10,3,1,0
432,2015,12,11,20,5,0,12,7,1,0
433,2015,12,11,11,2,0,18,3,1,1
434,2015,12,11,14,3,1,23,2,0,2
435,2015,12,12,6,5,1,2,4,0,1
436,2015,12,12,13,1,0,3,3,1,0
