
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
64,2016-03-04,7:00 PM,,New York Rangers,2,3,L,,47,13,4,L 1,,34,6,1,2,0,,23,6,1,2,0,18506,2:37,
65,2016-03-05,7:00 PM,@,Boston Bruins,2,1,W,OT,48,13,4,W 1,,30,16,0,3,0,,34,13,0,5,0,17565,2:40,
66,2016-03-07,10:00 PM,@,Anaheim Ducks,2,1,W,SO,49,13,4,W 2,,32,8,0,4,0,,28,4,0,4,0,17174,2:38,
67,2016-03-09,10:30 PM,@,Los Angeles Kings,3,4,L,OT,49,13,5,L 1,,32,18,1,1,0,,30,14,1,3,0,18324,2:38,
68,2016-03-12,10:30 PM,@,San Jose Sharks,2,5,L,,49,14,5,L 2,,25,4,1,3,0,,28,6,1,2,1,17562,2:26,
69,2016-03-15,7:00 PM,,Carolina Hurricanes,2,1,W,OT,50,14,5,W 1,,31,4,0,1,0,,26,2,0,2,0,18506,2:22,
70,2016-03-18,7:00 PM,,Nashville Predators,,,,,,,,,,,,,,,,,,,,,,,
71,2016-03-20,6:00 PM,@,Pittsburgh Penguins,,,,,,,,,,,,,,,,,,,,,,,
72,2016-03-22,7:30 PM,@,Ottawa Senators,,,,,,,,,,,,,,,,,,,,,,,
73,2016-03-25,7:00 PM,@,New Jersey Devils,,,,,,,,,,,,,,,,,,,,,,,
74,2016-03-26,7:00 PM,,St. Louis Blues,,,,,,,,,,,,,,,,,,,,,,,
75,2016-03-28,7:00 PM,,Columbus Blue Jackets,,,,,,,,,,,,,,,,,,,,,,,
76,2016-03-30,8:00 PM,@,Philadelphia Flyers,,,,,,,,,,,,,,,,,,,,,,,
77,2016-04-01,9:00 PM,@,Colorado Avalanche,,,,,,,,,,,,,,,,,,,,,,,
78,2016-04-02,10:00 PM,@,Arizona Coyotes,,,,,,,,,,,,,,,,,,,,,,,
79,2016-04-05,7:00 PM,,New York Islanders,,,,,,,,,,,,,,,,,,,,,,,
80,2016-04-07,7:00 PM,,Pittsburgh Penguins,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
81,2016-04-09,8:00 PM,@,St. Louis Blues,,,,,,,,,,,,,,,,,,,,,,,
82,2016-04-10,7:30 PM,,Anaheim Ducks,,,,,,,,,,,,,,,,,,,,,,,
