
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
53,2016-02-08,7:00 PM,,New Jersey Devils,2,1,W,,30,18,5,W 3,,37,10,0,5,0,,28,10,0,0,1,18006,2:29,
54,2016-02-10,8:00 PM,@,Pittsburgh Penguins,3,0,W,,31,18,5,W 4,,22,4,0,1,0,,34,2,0,2,0,18539,2:21,
55,2016-02-12,7:00 PM,,Los Angeles Kings,4,5,L,OT,31,18,6,L 1,,28,4,1,1,0,,34,2,1,2,0,,2:34,
56,2016-02-14,7:30 PM,,Philadelphia Flyers,3,1,W,,32,18,6,W 1,,30,22,1,4,0,,22,22,1,5,0,18006,2:36,
57,2016-02-17,8:00 PM,,Chicago Blackhawks,3,5,L,,32,19,6,L 1,,34,8,2,2,0,,20,4,3,4,0,18006,2:27,
58,2016-02-18,7:30 PM,@,Toronto Maple Leafs,4,2,W,,33,19,6,W 1,,20,14,1,3,0,,37,16,0,5,0,18952,2:36,
59,2016-02-21,7:00 PM,,Detroit Red Wings,1,0,W,OT,34,19,6,W 2,,30,10,0,4,0,,22,10,0,4,0,18006,2:36,
60,2016-02-23,7:00 PM,@,New Jersey Devils,2,5,L,,34,20,6,L 1,,19,23,0,0,0,,36,9,1,3,0,16514,2:32,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
61,2016-02-25,8:00 PM,@,St. Louis Blues,2,1,W,,35,20,6,W 1,,23,6,0,2,0,,36,4,1,3,0,17524,2:22,
62,2016-02-27,4:00 PM,@,Dallas Stars,3,2,W,,36,20,6,W 2,,29,2,1,3,0,,38,6,0,0,0,18532,2:37,
63,2016-02-29,7:00 PM,,Columbus Blue Jackets,2,1,W,,37,20,6,W 3,,23,7,0,1,1,,27,7,0,1,0,18006,2:26,
64,2016-03-03,7:00 PM,@,Pittsburgh Penguins,1,4,L,,37,21,6,L 1,,28,6,0,2,0,,26,4,1,3,0,18492,2:22,
65,2016-03-04,7:00 PM,@,Washington Capitals,3,2,W,,38,21,6,W 1,,23,6,1,2,0,,34,6,1,2,0,18506,2:37,
66,2016-03-06,5:00 PM,,New York Islanders,4,6,L,,38,22,6,L 1,,26,6,1,3,0,,32,6,1,3,0,18006,2:28,
67,2016-03-08,7:00 PM,@,Buffalo Sabres,4,2,W,,39,22,6,W 1,,26,4,1,2,0,,36,14,0,2,0,18651,2:27,
68,2016-03-12,2:00 PM,@,Detroit Red Wings,2,3,L,OT,39,22,7,L 1,,25,10,1,3,0,,43,8,1,4,0,20027,2:37,
69,2016-03-13,12:30 PM,,Pittsburgh Penguins,3,5,L,,39,23,7,L 2,,27,13,1,4,0,,33,15,1,3,0,18006,2:25,
70,2016-03-16,10:30 PM,@,Anaheim Ducks,2,1,W,,40,23,7,W 1,,23,0,0,3,0,,23,6,0,0,0,15400,2:29,
71,2016-03-17,10:30 PM,@,Los Angeles Kings,3,4,L,OT,40,23,8,L 1,,26,6,0,1,0,,37,4,0,2,0,18230,2:36,
72,2016-03-19,4:00 PM,@,San Jose Sharks,1,4,L,,40,24,8,L 2,,26,6,0,2,0,,52,6,1,3,0,16888,2:30,
73,2016-03-21,7:00 PM,,Florida Panthers,4,2,W,,41,24,8,W 1,,32,6,1,2,0,,27,8,1,1,0,18006,2:36,
74,2016-03-23,8:00 PM,,Boston Bruins,5,2,W,,42,24,8,W 2,,24,9,2,6,0,,41,17,0,2,0,18006,2:41,
75,2016-03-26,7:00 PM,@,Montreal Canadiens,,,,,,,,,,,,,,,,,,,,,,,
76,2016-03-27,7:30 PM,,Pittsburgh Penguins,,,,,,,,,,,,,,,,,,,,,,,
77,2016-03-31,7:00 PM,@,Carolina Hurricanes,,,,,,,,,,,,,,,,,,,,,,,
78,2016-04-02,7:00 PM,,Buffalo Sabres,,,,,,,,,,,,,,,,,,,,,,,
79,2016-04-04,7:00 PM,@,Columbus Blue Jackets,,,,,,,,,,,,,,,,,,,,,,,
80,2016-04-05,7:30 PM,,Tampa Bay Lightning,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
81,2016-04-07,7:00 PM,,New York Islanders,,,,,,,,,,,,,,,,,,,,,,,
82,2016-04-09,12:30 PM,,Detroit Red Wings,,,,,,,,,,,,,,,,,,,,,,,
