
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
61,2016-02-24,10:30 PM,@,Anaheim Ducks,0,1,L,,24,30,7,L 2,,26,6,0,4,0,,29,8,1,3,0,16543,2:33,
62,2016-02-26,10:30 PM,@,San Jose Sharks,3,1,W,,25,30,7,W 1,,22,0,0,0,0,,25,0,0,0,0,17562,2:17,
63,2016-02-27,11:00 PM,@,Los Angeles Kings,0,2,L,,25,31,7,L 1,,23,4,0,3,0,,35,6,0,2,0,18230,2:28,
64,2016-03-01,7:30 PM,,Edmonton Oilers,1,2,L,OT,25,31,8,L 2,,32,4,0,1,0,,41,2,0,3,0,19070,2:40,
65,2016-03-03,7:00 PM,,Calgary Flames,6,3,W,,26,31,8,W 1,,35,6,1,8,1,,29,16,1,3,0,18651,2:31,
66,2016-03-05,1:00 PM,,Minnesota Wild,2,3,L,SO,26,31,9,L 1,,32,4,2,2,0,,30,6,1,1,0,19070,2:47,
67,2016-03-07,7:30 PM,@,Toronto Maple Leafs,4,3,W,SO,27,31,9,W 1,,27,12,0,4,0,,33,14,1,3,0,18950,2:50,
68,2016-03-08,7:00 PM,,New York Rangers,2,4,L,,27,32,9,L 1,,36,14,0,2,0,,26,4,1,2,0,18651,2:27,
69,2016-03-10,7:30 PM,@,Montreal Canadiens,2,3,L,,27,33,9,L 2,,38,18,0,2,0,,34,14,1,4,0,21288,2:54,
70,2016-03-12,1:00 PM,,Carolina Hurricanes,3,2,W,OT,28,33,9,W 1,,24,6,0,4,0,,30,6,1,3,0,19070,2:35,
