
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
61,2016-02-17,8:00 PM,@,New York Rangers,5,3,W,,38,18,5,W 2,,20,4,3,4,0,,34,8,2,2,0,18006,2:27,
62,2016-02-21,3:30 PM,@,Minnesota Wild,1,6,L,,38,19,5,L 1,,32,27,0,2,0,,32,10,1,6,0,32767,2:43,
63,2016-02-25,8:00 PM,,Nashville Predators,1,3,L,,38,20,5,L 2,,39,4,0,1,0,,32,4,0,1,0,22058,2:22,
64,2016-02-28,12:30 PM,,Washington Capitals,3,2,W,,39,20,5,W 1,,23,10,1,4,0,,30,10,2,5,0,22218,2:24,
65,2016-03-02,8:00 PM,@,Detroit Red Wings,5,2,W,,40,20,5,W 2,,33,10,2,3,0,,33,8,1,4,0,20027,2:28,
66,2016-03-03,7:00 PM,@,Boston Bruins,2,4,L,,40,21,5,L 1,,27,4,1,2,0,,25,4,1,2,0,17565,2:25,
67,2016-03-06,5:00 PM,,Detroit Red Wings,4,1,W,,41,21,5,W 1,,26,6,2,3,0,,34,8,0,3,0,22247,2:24,
68,2016-03-09,8:00 PM,@,St. Louis Blues,2,3,L,SO,41,21,6,L 1,,35,4,1,4,0,,30,19,2,3,0,19756,2:52,
69,2016-03-11,8:30 PM,@,Dallas Stars,2,5,L,,41,22,6,L 2,,23,12,0,5,0,,31,10,2,6,0,18532,2:33,
70,2016-03-14,8:00 PM,,Los Angeles Kings,0,5,L,,41,23,6,L 3,,32,4,0,6,0,,25,12,0,2,0,22170,2:32,
71,2016-03-16,8:00 PM,,Philadelphia Flyers,2,3,L,,41,24,6,L 4,,26,4,0,3,1,,29,6,1,2,0,22113,2:20,
