
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
58,2016-02-16,8:00 PM,@,St. Louis Blues,1,2,L,OT,37,15,6,L 1,,18,10,0,7,0,,22,12,1,5,0,18156,2:35,
59,2016-02-18,9:00 PM,@,Arizona Coyotes,3,6,L,,37,16,6,L 2,,39,8,1,4,0,,42,8,1,3,0,11853,2:35,
60,2016-02-20,8:00 PM,,Boston Bruins,3,7,L,,37,17,6,L 3,,29,17,0,1,0,,42,7,3,6,0,18532,2:58,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
61,2016-02-23,8:00 PM,@,Winnipeg Jets,5,3,W,,38,17,6,W 1,,27,8,2,5,0,,25,10,0,4,1,15294,2:32,
62,2016-02-25,8:30 PM,,Winnipeg Jets,3,6,L,,38,18,6,L 1,,30,8,2,4,0,,28,12,0,2,0,18532,2:31,
63,2016-02-27,4:00 PM,,New York Rangers,2,3,L,,38,19,6,L 2,,38,6,0,0,0,,29,2,1,3,0,18532,2:37,
64,2016-02-29,8:30 PM,,Detroit Red Wings,2,3,L,OT,38,19,7,L 3,,41,8,0,4,0,,33,8,1,4,0,18532,2:40,
65,2016-03-01,8:00 PM,@,Nashville Predators,3,5,L,,38,20,7,L 4,,38,15,1,3,0,,34,13,1,4,0,17113,2:45,
66,2016-03-04,8:30 PM,,New Jersey Devils,4,2,W,,39,20,7,W 1,,25,11,0,3,1,,20,11,0,3,0,18117,2:31,
67,2016-03-06,5:00 PM,@,Ottawa Senators,2,1,W,,40,20,7,W 2,,25,6,1,2,0,,24,4,0,3,0,19419,2:33,
68,2016-03-08,7:30 PM,@,Montreal Canadiens,3,4,L,OT,40,20,8,L 1,,33,4,1,3,0,,28,6,0,2,0,21288,2:38,
69,2016-03-11,8:30 PM,,Chicago Blackhawks,5,2,W,,41,20,8,W 1,,31,10,2,6,0,,23,12,0,5,0,18532,2:33,
70,2016-03-12,9:00 PM,,St. Louis Blues,4,5,L,OT,41,20,9,L 1,,38,10,1,3,0,,36,8,0,4,0,18532,2:35,
71,2016-03-15,8:30 PM,,Los Angeles Kings,2,5,L,,41,21,9,L 2,,26,2,1,3,0,,22,6,0,1,0,18532,2:27,
72,2016-03-17,8:30 PM,,Tampa Bay Lightning,,,,,,,,,,,,,,,,,,,,,,,
73,2016-03-19,8:00 PM,,New York Islanders,,,,,,,,,,,,,,,,,,,,,,,
74,2016-03-22,8:30 PM,@,Chicago Blackhawks,,,,,,,,,,,,,,,,,,,,,,,
75,2016-03-24,10:00 PM,@,Arizona Coyotes,,,,,,,,,,,,,,,,,,,,,,,
76,2016-03-26,4:00 PM,@,San Jose Sharks,,,,,,,,,,,,,,,,,,,,,,,
77,2016-03-29,8:30 PM,,Nashville Predators,,,,,,,,,,,,,,,,,,,,,,,
78,2016-03-31,8:30 PM,,Arizona Coyotes,,,,,,,,,,,,,,,,,,,,,,,
79,2016-04-02,4:00 PM,@,Los Angeles Kings,,,,,,,,,,,,,,,,,,,,,,,
80,2016-04-03,9:00 PM,@,Anaheim Ducks,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Cumulative,Cumulative,Cumulative,Cumulative,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
81,2016-04-07,8:30 PM,,Colorado Avalanche,,,,,,,,,,,,,,,,,,,,,,,
82,2016-04-09,8:00 PM,,Nashville Predators,,,,,,,,,,,,,,,,,,,,,,,
